243,1871,1,0,29,0
421,1871,1,1,0,0
482,1871,1,0,11,1
808,1871,1,1,0,0
900,1871,1,13,0,4
980,1871,1,0,0,1
1028,1871,1,4,0,4
1065,1871,1,1,3,11
1279,1871,1,0,0,1
1314,1871,1,0,0,1
1318,1871,1,11,1,0
1407,1871,1,1,25,0
1411,1871,1,0,0,27
2394,1871,1,4,0,4
3468,1871,1,18,0,1
3510,1871,1,0,0,3
3781,1871,1,0,0,1
4015,1871,1,27,0,0
4269,1871,1,6,0,0
4686,1871,1,2,1,6
5095,1871,1,0,33,0
5340,1871,1,0,0,1
5733,1871,1,0,0,8
5753,1871,1,2,9,5
5770,1871,1,3,1,0
6566,1871,1,1,0,25
6768,1871,1,0,0,1
7241,1871,1,1,31,0
7307,1871,1,19,0,0
7561,1871,1,2,1,0
7569,1871,1,24,0,0
7942,1871,1,0,0,16
7991,1871,1,0,0,8
8104,1871,1,0,3,1
8672,1871,1,0,1,0
8852,1871,1,0,0,6
9308,1871,1,1,4,14
9472,1871,1,2,1,7
9504,1871,1,1,10,0
9514,1871,1,29,0,0
10249,1871,1,0,0,1
10256,1871,1,11,0,0
10814,1871,1,1,0,0
11562,1871,1,0,2,0
11859,1871,1,0,0,5
12213,1871,1,0,0,4
12238,1871,1,9,0,0
13145,1871,1,0,0,1
13550,1871,1,28,0,0
13725,1871,1,9,0,22
14163,1871,1,0,0,18
14183,1871,1,0,0,8
14382,1871,1,5,0,2
15666,1871,1,4,0,0
16196,1871,1,0,25,0
16494,1871,1,0,9,17
16927,1871,1,0,9,0
17241,1871,1,0,0,25
17499,1871,1,0,1,1
18102,1871,1,25,0,0
19080,1871,1,0,0,1
19089,1871,1,0,0,15
19622,1871,1,0,30,0
19722,1871,1,0,29,0
19834,1871,1,0,0,3
219,1872,1,4,3,2
242,1872,1,0,0,1
243,1872,1,0,17,2
244,1872,1,0,1,1
490,1872,1,0,0,2
874,1872,1,8,0,0
948,1872,1,0,0,2
1028,1872,1,0,2,0
1061,1872,1,1,0,0
1065,1872,1,13,0,37
1142,1872,1,0,6,0
1233,1872,1,0,0,7
1372,1872,1,0,0,10
1411,1872,1,4,0,4
1679,1872,1,0,3,1
1679,1872,2,6,0,8
1792,1872,1,0,0,1
1869,1872,2,0,0,1
2149,1872,1,0,0,4
