304,369,884,1997
305,370,899,1993
306,370,899,1994
307,370,899,1995
308,372,984,1985
309,372,984,1986
310,372,984,1987
311,372,984,1988
312,376,1141,1978
313,377,827,1981
314,377,827,1982
315,377,827,1983
316,377,827,1984
317,384,1193,1916
318,385,1030,1904
319,385,1030,1905
320,385,1030,1906
321,387,109,1998
322,387,259,2001
323,389,193,1881
324,390,360,1921
325,390,360,1922
326,390,360,1923
327,391,476,1937
328,391,476,1938
329,391,476,1939
330,397,174,1968
331,397,174,1969
332,397,904,1970
333,399,146,1972
334,401,710,1932
335,401,1085,1933
336,401,1085,1934
337,414,124,1966
338,414,124,1967
339,414,1145,1968
340,414,1145,1969
341,415,796,2005
342,415,796,2006
343,415,796,2007
344,416,372,1925
345,416,372,1926
346,416,372,1927
347,417,996,1932
348,417,996,1933
349,417,996,1934
350,428,1132,2004
351,428,1132,2005
352,428,1132,2006
353,431,117,1968
354,431,117,1969
355,431,153,1970
356,431,153,1971
357,433,358,1986
358,433,110,1987
359,436,619,1924
360,436,619,1925
361,436,619,1926
362,457,1096,1961
363,460,1062,1993
364,460,1062,1994
365,460,592,1995
366,463,994,2005
367,463,994,2006
368,463,994,2007
369,467,63,1991
370,467,63,1992
371,467,40,1993
372,472,796,1965
373,472,796,1966
374,485,886,1984
375,485,886,1985
376,485,886,1986
377,485,808,1987
378,486,617,1973
379,489,93,1982
380,489,93,1983
381,489,93,1984
382,489,93,1985
383,493,618,1981
384,493,618,1982
385,493,618,1983
386,493,618,1984
387,494,996,1978
388,494,996,1979
389,494,996,1981
390,496,159,1982
391,496,159,1983
392,503,1031,2006
393,503,1031,2007
394,510,132,1969
395,510,132,1970
396,515,358,1981
397,515,358,1982
398,515,358,1983
399,519,720,2009
400,519,720,2010
401,519,720,2011
402,523,651,1986
403,525,819,1973
404,525,1008,1974
405,526,1204,1921
406,533,38,1980
407,533,38,1981
408,533,38,1982
409,533,38,1983
410,537,451,1940
411,537,451,1941
412,537,451,1942
413,540,1031,1995
414,540,1031,1996
415,540,1031,1998
416,540,1031,1999
417,541,1147,1992
418,541,1147,1993
419,541,997,1994
420,541,997,1995
421,542,855,1893
422,542,855,1894
423,542,855,1895
424,548,1073,1998
425,548,1073,1999
426,548,1073,2000
427,554,1115,1943
428,558,1021,2001
429,558,1021,2002
430,558,1021,2003
431,561,175,1969
432,562,338,2005
433,562,338,2006
434,562,338,2007
435,563,331,1968
436,564,219,1982
437,564,219,1983
438,564,219,1984
439,565,1168,1971
440,565,1168,1972
441,565,1168,1973
442,565,1168,1974
443,566,497,1929
444,566,497,1930
445,566,497,1931
446,566,497,1932
447,568,1053,1969
448,568,1053,1970
449,568,1060,1971
450,568,1060,1972
451,570,960,1990
452,570,960,1991
453,570,960,1992
454,571,489,1985
455,571,489,1986
456,571,489,1987
457,571,489,1988
458,573,338,1960
459,573,338,1961
460,575,949,1997
461,575,949,1998
462,577,1116,1984
463,577,1116,1985
464,577,1116,1986
465,578,1145,1967
466,578,1145,1968
467,584,530,1991
468,584,530,1992
469,584,530,1993
470,584,530,1994
471,586,826,1951
472,586,826,1952
473,586,826,1953
474,589,5,2006
475,589,5,2007
476,589,5,2008
477,593,247,2000
478,593,247,2001
479,593,247,2002
480,593,247,2003
481,596,1072,2006
482,596,1072,2007
483,597,762,2003
484,597,762,2005
485,597,171,2006
486,606,1112,1912
487,608,1091,1987
488,608,1091,1988
489,616,101,1913
490,616,101,1914
491,616,101,1915
492,618,1038,1997
493,618,1038,1998
494,619,894,1907
495,619,894,1908
496,619,894,1909
497,622,1016,1971
498,622,1016,1972
499,622,1016,1973
500,625,93,2002
501,625,93,2003
502,625,93,2004
503,625,93,2005
504,629,1096,1925
505,629,1096,1926
506,629,1096,1927
507,637,283,1986
508,637,283,1987
509,637,283,1988
510,643,534,1920
511,643,534,1921
512,643,534,1922
513,644,397,1987
514,644,397,1988
515,644,397,1989
516,645,720,1965
517,649,1130,2003
518,649,1130,2004
519,649,1130,2005
520,649,1130,2006
521,653,461,1990
522,653,461,1991
523,654,994,1948
524,655,1143,1915
525,658,391,1977
526,661,547,1953
527,661,547,1954
528,661,547,1955
529,661,547,1956
530,663,985,1980
531,663,985,1981
532,663,985,1982
533,664,340,1990
534,664,340,1991
535,664,340,1992
536,665,985,1981
537,665,608,1982
538,671,561,1916
539,671,214,1917
540,672,183,1959
541,672,183,1960
542,672,183,1961
543,672,183,1962
544,673,1194,1912
545,674,93,1970
546,674,93,1971
547,675,930,2002
548,675,930,2003
549,675,930,2004
550,675,930,2005
551,676,181,1997
552,676,181,1998
553,676,808,1999
554,676,808,2000
555,683,187,1972
556,683,187,1973
557,683,558,1974
558,683,558,1975
559,684,1073,1975
560,684,1073,1976
561,684,1073,1977
562,684,1073,1978
563,686,41,1982
564,692,943,1965
565,692,943,1966
566,692,943,1967
567,696,53,1971
568,699,231,2000
569,699,231,2001
570,699,231,2002
571,700,147,2000
572,700,147,2001
573,700,147,2002
574,702,996,1926
575,702,996,1927
576,706,815,2001
577,706,815,2002
578,706,815,2003
579,707,389,1976
580,710,1141,1910
581,711,1078,1991
582,711,1078,1992
583,711,1078,1993
584,713,920,1970
585,714,290,1976
586,714,290,1977
587,714,290,1978
588,719,40,1957
589,719,40,1958
590,719,40,1959
591,724,741,1983
592,724,741,1984
593,727,855,1882
594,729,385,1973
595,729,385,1974
596,729,385,1975
597,729,385,1976
598,731,20,1993
599,731,20,1994
600,731,943,1995
601,731,943,1996
602,732,841,1907
603,732,841,1908
604,732,841,1909
605,732,997,1910
606,735,117,1963
607,737,949,1982
608,737,949,1983
609,737,949,1984
610,737,949,1985
611,742,159,1989
612,742,907,1990
613,746,353,1956
614,746,353,1957
615,746,353,1958
616,753,41,1975
617,753,41,1976
618,753,41,1977
619,753,41,1978
620,754,41,1964
621,754,41,1965
622,756,41,1971
623,756,41,1972
624,756,41,1973
625,758,1043,1984
626,758,1043,1985
627,758,415,1986
628,760,1085,1982
629,760,1085,1983
630,760,1085,1984
631,762,107,1990
632,762,107,1993
633,764,561,1910
634,766,328,2001
635,766,328,2002
636,766,328,2003
637,769,41,1970
638,769,41,1971
639,769,41,1972
640,770,1096,2000
641,770,1096,2001
642,770,1096,2003
643,771,41,1974
644,771,41,1975
645,771,41,1976
646,773,412,1893
647,776,266,2006
648,776,266,2007
649,776,266,2008
650,776,266,2009
651,779,117,1994
652,779,117,1995
653,783,117,1986
654,783,117,1987
655,783,1096,1988
656,790,40,1967
657,790,535,1968
658,790,535,1969
659,791,1090,1914
660,791,1090,1915
661,795,103,1893
662,795,528,1894
663,795,528,1895
664,795,528,1896
665,795,528,1897
666,796,1085,2004
667,796,1085,2005
668,796,1085,2006
669,797,827,2000
670,797,827,2001
671,797,827,2002
672,798,1060,1997
673,798,1060,1998
674,798,1060,1999
675,800,332,1968
676,800,332,1969
677,802,805,1986
678,805,130,1978
679,805,130,1979
680,805,40,1980
681,806,1017,1904
682,807,711,1987
683,807,711,1988
684,807,711,1989
685,807,711,1990
686,809,711,1992
687,809,711,1993
688,809,711,1994
689,809,711,1995
690,810,973,1990
691,810,973,1991
692,810,973,1992
693,810,973,1993
694,811,1115,1994
695,811,1115,1995
696,811,1115,1996
697,814,582,1994
698,815,111,1999
699,815,111,2000
700,815,561,2001
701,815,561,2002
702,817,228,1979
703,817,228,1980
704,817,228,1981
705,817,228,1982
706,818,996,1934
707,821,988,1968
708,821,988,1969
709,821,988,1970
710,825,459,1998
711,825,459,1999
712,825,478,2000
713,826,1201,1935
714,826,1201,1936
715,826,1201,1937
716,830,451,1921
717,830,451,1922
718,831,231,1986
719,831,231,1987
720,831,231,1988
721,831,231,1989
722,833,827,2005
723,833,827,2006
724,833,827,2007
725,836,241,1919
726,836,241,1920
727,836,241,1921
728,836,241,1922
729,839,241,1922
730,839,241,1923
731,839,241,1924
732,839,241,1925
733,842,389,1995
734,842,389,1996
735,843,1132,1931
736,843,1132,1932
737,843,1132,1933
738,844,358,1995
739,845,827,1967
740,845,827,1968
741,845,827,1969
742,847,5,1924
743,847,5,1925
744,847,5,1926
745,851,53,1918
746,851,53,1919
747,851,53,1920
748,851,53,1921
749,852,960,2006
750,852,960,2007
751,852,960,2008
752,853,227,1977
753,853,227,1978
754,856,934,1915
755,856,934,1916
756,863,988,1963
757,864,313,1998
758,864,313,1999
759,864,313,2000
760,864,313,2001
761,866,167,2002
762,866,167,2003
763,866,944,2004
764,869,185,1952
765,880,964,1929
766,880,964,1930
767,880,964,1931
768,880,964,1932
769,886,61,1977
770,886,61,1978
771,886,41,1979
772,889,469,1980
773,889,478,1982
774,889,478,1983
775,890,61,1980
776,890,40,1981
777,890,40,1982
778,897,1096,1968
779,897,1096,1969
780,897,1096,1970
781,901,583,1909
782,901,583,1910
783,901,583,1911
784,901,583,1912
785,901,1201,1913
786,901,1201,1914
787,902,372,1919
788,902,372,1920
789,902,372,1921
790,902,372,1922
791,903,1173,1986
792,903,1173,1987
793,904,268,1908
794,907,908,1910
795,907,908,1911
796,907,908,1912
797,908,412,1906
798,908,412,1907
799,908,412,1908
800,909,904,1988
801,909,904,1989
802,909,904,1990
803,910,886,1998
804,910,886,1999
805,910,886,2000
806,910,886,2001
807,912,733,1896
808,912,733,1897
809,912,733,1898
810,912,733,1899
811,913,101,1900
812,913,101,1901
813,913,101,1902
814,913,101,1903
815,915,255,1991
816,915,255,1992
817,915,255,1993
818,922,451,1941
819,922,451,1942
820,922,451,1943
821,923,620,1934
822,923,620,1935
823,923,620,1936
824,924,199,1998
825,924,199,1999
826,924,808,2000
827,924,808,2001
828,926,558,2001
829,926,617,2003
830,926,617,2004
831,931,116,1982
832,931,116,1983
833,931,725,1984
834,934,1025,1998
835,934,1025,1999
836,934,884,2000
837,934,884,2001
838,935,451,1998
839,935,451,1999
840,935,451,2000
841,936,955,1941
842,942,1151,2006
843,942,1151,2007
844,942,1151,2008
845,944,618,1928
846,944,618,1929
847,944,618,1930
848,945,609,1917
849,945,609,1918
850,946,101,1882
851,946,101,1883
852,946,101,1884
853,951,844,1957
854,957,1097,1985
855,957,1097,1986
856,957,1097,1987
857,957,1097,1988
858,957,1097,1989
859,959,907,2003
860,959,711,2005
861,959,711,2006
862,960,996,1983
863,960,996,1984
864,960,996,1985
865,966,126,1990
866,966,126,1991
867,966,40,1992
868,970,135,1980
869,970,856,1981
870,976,81,1914
871,976,81,1915
872,981,899,1989
873,981,899,1990
874,981,899,1991
875,985,76,1941
876,990,830,1996
877,990,830,1997
878,992,1073,2009
879,992,1073,2010
880,992,1073,2011
881,993,542,1993
882,993,542,1994
883,993,542,1995
884,1001,348,1974
885,1001,854,1975
886,1001,338,1977
887,1002,224,1912
888,1002,224,1913
889,1002,224,1914
890,1003,795,1939
891,1003,795,1940
892,1003,795,1941
893,1010,319,2000
894,1010,319,2001
895,1014,245,2003
896,1014,1113,2004
897,1014,1113,2005
898,1017,435,1997
899,1017,435,1998
900,1017,384,1999
901,1017,384,2000
902,1019,1015,2000
903,1019,1015,2001
904,1019,1015,2002
905,1025,827,1968
906,1025,827,1969
907,1025,827,1970
908,1032,144,1973
909,1034,64,2000
910,1034,64,2001
911,1034,819,2002
912,1034,819,2003
913,1036,558,1983
914,1036,558,1984
915,1036,558,1985
916,1036,558,1986
917,1037,53,1997
918,1037,53,1998
919,1037,53,1999
920,1037,53,2000
921,1042,996,1970
922,1042,996,1971
923,1046,552,1973
924,1046,552,1974
925,1047,960,1960
926,1047,960,1961
927,1047,960,1962
928,1048,818,1985
929,1048,818,1986
930,1048,818,1987
931,1049,41,1983
932,1049,41,1984
933,1054,1057,1984
934,1054,76,1985
935,1054,76,1986
936,1056,267,1974
937,1056,267,1975
938,1059,79,1898
939,1067,1078,2006
940,1085,378,2006
941,1085,378,2007
942,1085,378,2008
943,1088,1200,1927
944,1088,1200,1928
945,1088,1200,1929
946,1090,1127,1959
947,1090,1127,1960
948,1090,384,1961
949,1090,384,1962
950,1092,53,1974
951,1092,53,1975
952,1092,53,1976
953,1092,53,1977
954,1095,262,1998
955,1095,262,1999
956,1096,1154,1956
957,1097,217,1921
958,1097,942,1923
959,1097,942,1924
960,1097,942,1925
961,1103,730,1978
962,1104,451,1902
963,1104,451,1903
964,1107,1049,1991
965,1107,1049,1992
966,1107,415,1993
967,1107,415,1994
968,1113,76,1976
969,1113,76,1977
970,1113,76,1978
971,1113,76,1979
