3315,1936,'BBWAA',226,170,222,1,'Player',
15600,1936,'BBWAA',226,170,215,1,'Player',
18597,1936,'BBWAA',226,170,215,1,'Player',
11278,1936,'BBWAA',226,170,205,1,'Player',
8958,1936,'BBWAA',226,170,189,1,'Player',
9916,1936,'BBWAA',226,170,146,0,'Player',
16940,1936,'BBWAA',226,170,133,0,'Player',
19742,1936,'BBWAA',226,170,111,0,'Player',
8289,1936,'BBWAA',226,170,105,0,'Player',
3321,1936,'BBWAA',226,170,80,0,'Player',
16546,1936,'BBWAA',226,170,77,0,'Player',
3404,1936,'BBWAA',226,170,60,0,'Player',
3408,1936,'BBWAA',226,170,58,0,'Player',
190,1936,'BBWAA',226,170,55,0,'Player',
6328,1936,'BBWAA',226,170,51,0,'Player',
1947,1936,'BBWAA',226,170,47,0,'Player',
9255,1936,'BBWAA',226,170,40,0,'Player',
421,1936,'Veterans',78,59,39,0,'Player',
5342,1936,'Veterans',78,59,39,0,'Player',
9255,1936,'Veterans',78,59,33,0,'Player',
18574,1936,'BBWAA',226,170,33,0,'Player',
19742,1936,'Veterans',78,59,32,0,'Player',
4337,1936,'Veterans',78,59,21,0,'Player',
5864,1936,'BBWAA',226,170,21,0,'Player',
18712,1936,'BBWAA',226,170,20,0,'Player',
11674,1936,'Veterans',78,59,17,0,'Player',
4337,1936,'BBWAA',226,170,17,0,'Player',
14556,1936,'Veterans',78,59,16,0,'Player',
18101,1936,'BBWAA',226,170,16,0,'Player',
9327,1936,'Veterans',78,59,15,0,'Player',
10547,1936,'Veterans',78,59,15,0,'Player',
5986,1936,'BBWAA',226,170,14,0,'Player',
7027,1936,'BBWAA',226,170,12,0,'Player',
8786,1936,'Veterans',78,59,11,0,'Player',
15576,1936,'Veterans',78,59,11,0,'Player',
3029,1936,'BBWAA',226,170,11,0,'Player',
19775,1936,'BBWAA',226,170,10,0,'Player',
3193,1936,'Veterans',78,59,9,0,'Player',
17763,1936,'BBWAA',226,170,9,0,'Player',
3408,1936,'Veterans',78,59,8,0,'Player',
9594,1936,'BBWAA',226,170,8,0,'Player',
3823,1936,'BBWAA',226,170,7,0,'Player',
3451,1936,'Veterans',78,59,6,0,'Player',
4421,1936,'Veterans',78,59,6,0,'Player',
9988,1936,'Veterans',78,59,6,0,'Player',
15210,1936,'Veterans',78,59,6,0,'Player',
17295,1936,'Veterans',78,59,6,0,'Player',
19618,1936,'Veterans',78,59,6,0,'Player',
2146,1936,'BBWAA',226,170,6,0,'Player',
5337,1936,'BBWAA',226,170,6,0,'Player',
3208,1936,'Veterans',78,59,5,0,'Player',
18597,1936,'Veterans',78,59,5,0,'Player',
2988,1936,'BBWAA',226,170,5,0,'Player',
16927,1936,'Veterans',78,59,4,0,'Player',
11674,1936,'BBWAA',226,170,4,0,'Player',
15905,1936,'BBWAA',226,170,4,0,'Player',
16489,1936,'BBWAA',226,170,4,0,'Player',
850,1936,'Veterans',78,59,3,0,'Player',
1213,1936,'Veterans',78,59,3,0,'Player',
4869,1936,'Veterans',78,59,3,0,'Player',
13025,1936,'Veterans',78,59,3,0,'Player',
18766,1936,'Veterans',78,59,3,0,'Player',
2065,1936,'Veterans',78,59,2,0,'Player',
4914,1936,'Veterans',78,59,2,0,'Player',
6538,1936,'Veterans',78,59,2,0,'Player',
